Artist	Music	Lyrics	Compilation	Title	Type	State	File	Comments	Archive	Original	Genre	Misc. info	Misc. 2	Language	Category	Artist 2	Length	Song start	Song end	Intro	Voice out	Loop start	Loop end	Refrain start	Refrain end	Fade in	Fade out	Hot start	Mix in	Flags	Vote	Volume	Period	Media	Attribute	Tempo	Mood	Energy	Bitrate	File format	BPM	Last date played	Last time played	Last type modification	Folder	CRC	CRCTime
MAKADAM				DA MI JE ZNATI	90		30000641.MPG								90		4:10.234	0:00.000	4:04.124	0:17.327									4:02.074	0		72		A					128	MPEG L3-44JP					-31568	965020038	1029310430
MARC ANTHONY				WHEN I DREAM AT NIGHT	90		30002750.MPG								90		4:21.120	0:00.000	4:21.120	0:59.098									4:06.745	0				A					128	MPEG L3-44J				23/11/2014	-31568	-2079532434	1227916533
MARC ANTHONY				I'VE GOT YOU	MILENIUM 00-08		30002456.MPG								MILENIUM 00-08		4:45.048	0:00.580	4:41.421	0:56.842									4:31.203	0				A					128	MPEG L3-44SP				12/11/2014	-31568	710942542	1151681054
MARIJA BOZOVIC				SAMA	MILENIUM 00-08		30002079.MPG								MILENIUM 00-08		3:52.411	0:00.000	3:48.026	0:01.142									3:47.454	0		63		A					192	MPEG L3-44JP					-31568	-298733493	1198763858
MARIJA BOZOVIC				LJUBAVI MI DAJ	MILENIUM 00-08		30001064.MPG								MILENIUM 00-08		3:38.801	0:00.000	3:37.135	0:13.447									3:35.342	0		63		A					128	MPEG L3-44SP					-31568	1357019896	1027018120
MARIJA BOZOVIC				PRONADJI PUT	MILENIUM 00-08		30000005.MPG								MILENIUM 00-08		2:59.807	0:00.000	2:57.795	0:11.307									2:57.243	0		65		A					160	MPEG L3-44SP					-31568	892436180	1110464285
MARIJA BOZOVIC				UZALUD	MILENIUM 00-08		30002080.MPG								MILENIUM 00-08		3:47.526	0:00.000	3:44.490	0:37.290									3:43.278	0		63		A					192	MPEG L3-44JP					-31568	1599081667	1198763908
MARIJA HUSAR				DA LI ME PREPOZNAJES	MILENIUM 00-08		30002082.MPG								MILENIUM 00-08		3:40.786	0:00.316	3:36.708	0:25.986									3:35.826	0		64		A					256	MPEG L3-44S					-31568	762356176	1171888602
MARIJA HUSAR				KOLACICI	MILENIUM 00-08		30002081.MPG								MILENIUM 00-08		3:37.965	0:00.156	3:35.769	0:15.986									3:33.715	0		63		A					256	MPEG L3-44S					-31568	-835505517	1223223545
MARIJANA ZLOPASA				TI ZAVOLIO SI NJU	RECURENT 08-14		30001471.MPG								RECURENT 08-14		4:08.793	0:00.254	3:52.911	0:12.741									3:50.363	0		67		A					320	MPEG L3-44SP					-31568	-1051650174	1279708781
MARIJANA ZLOPASA				ZASTO TE VOLIM	MILENIUM 00-08		30000655.MPG								MILENIUM 00-08		3:19.653	0:00.000	3:14.365	0:10.143									3:13.792	0		64		A					160	MPEG L3-44JP					-31568	-172407768	1095733908
MARIJANA ZLOPASA				KATANAC	RECURENT 08-14		30001434.MPG								RECURENT 08-14		4:55.082	0:00.483	4:51.493	0:18.618									4:50.163	0		64		A					320	MPEG L3-44SP					-31568	-700148543	1279708692
MARIJANA ZLOPASA				DUSE DVIJE	RECURENT 08-14		30001546.MPG								RECURENT 08-14		3:24.150	0:00.000	3:20.638	0:20.239									3:19.300	0		63		A					320	MPEG L3-44SP					-31568	1654797626	1279708928
MARIJANA ZLOPASA				NE LJUTI SE	RECURENT 08-14		30001330.MPG								RECURENT 08-14		3:27.337	0:00.424	3:22.243	0:11.934									3:20.799	0		67		A					320	MPEG L3-44SP					-31568	-1746680803	1279708489
MARIJA SERIFOVIC				TI MI SE SVIDJAS	MILENIUM 00-08		30000650.MPG								MILENIUM 00-08		3:37.730	0:00.535	3:34.626	0:42.375									3:34.127	0		61		A					320	MPEG L3-44JP					-31568	249696877	1100720980
MARIJA SERIFOVIC				SAD IDI NEK TE DJAVO NOSI	MILENIUM 00-08		30000649.MPG								MILENIUM 00-08		3:19.888	0:00.409	3:16.478	0:27.272									3:15.966	0		63		A					320	MPEG L3-44JP					-31568	1370956348	1137342686
MARIJA SERIFOVIC				ZA SRECU NAM MALO TREBA	MILENIUM 00-08		30000652.MPG								MILENIUM 00-08		3:28.091	0:00.511	3:24.628	0:28.477									3:23.008	0		62		A					320	MPEG L3-44JP					-31568	2061856946	1100721000
MARIJA SERIFOVIC				PONUDA	MILENIUM 00-08		30000648.MPG								MILENIUM 00-08		3:03.666	0:00.000	2:59.550	0:24.005									2:58.572	0		61		A					160	MPEG L3-44SP					-31568	2055681087	1137409735
MARIJA SERIFOVIC				NAJ, NAJBOLJA	MILENIUM 00-08		30000647.MPG								MILENIUM 00-08		4:39.431	0:00.000	4:38.176	1:16.714									4:37.375	0		65		A					320	MPEG L3-44JP					-31568	-173897464	1100720964
MARIJA SERIFOVIC				GORKA COKOLADA	MILENIUM 00-08		30000646.MPG								MILENIUM 00-08		3:28.274	0:00.000	3:20.627	0:04.778									3:20.285	0		63		A					160	MPEG L3-44JP					-31568	1697669380	1095736274
MARIJA SERIFOVIC				ZNAJ DA ZNAM	MILENIUM 00-08		30000653.MPG								MILENIUM 00-08		3:40.682	0:00.519	3:37.193	0:31.647									3:36.199	0		64		A					320	MPEG L3-44JP					-31568	1168887827	1100720944
MARIJA SERIFOVIC				U NEDELJU	MILENIUM 00-08		30000654.MPG								MILENIUM 00-08		3:55.467	0:00.385	3:50.397	0:13.796									3:49.433	0		61		A					128	MPEG L3-44J					-31568	1271701742	1134415458
MARIJA SERIFOVIC				VOLIM GA	MILENIUM 00-08		30000651.MPG								MILENIUM 00-08		3:36.999	0:00.533	3:32.856	0:37.254									3:32.011	0		65		A					320	MPEG L3-44JP					-31568	922170334	1100720994
MARIJA SERIFOVIC				NISAM ANDJEO	RECURENT 08-14		30001355.MPG								RECURENT 08-14		3:43.381	0:00.283	3:38.443	0:20.453									3:37.665	0		65		A					128	MPEG L3-44JP					-31568	1499501735	1208980452
MARIJA SERIFOVIC				PAMTI ME PO SUZAMA	MILENIUM 00-08		30002090.MPG								MILENIUM 00-08		3:38.958	0:00.493	3:35.982	0:28.702									3:34.458	0		62		A					128	MPEG L3-44JP					-31568	283570443	1152151712
MARIJA SERIFOVIC				NE OSTAVLJAJ TRAGA	RECURENT 08-14		30002141.MPG								RECURENT 08-14		3:20.359	0:00.000	3:17.945	0:18.552									3:17.699	0		62		A					320	MPEG L3-44J					-31568	-127760120	1260629984
MARIJA SERIFOVIC				SVE PO STAROM	RECURENT 08-14		30001450.MPG								RECURENT 08-14		3:10.440	0:00.273	3:08.377	0:08.112									3:07.636	0		66		A					128	MPEG L3-44JP					-31568	-1950910288	1223224024
MARIJA SERIFOVIC				KADA LJUBIS ANDJELA	RECURENT 08-14		30002025.MPG								RECURENT 08-14		3:53.743	0:00.766	3:48.040	0:20.591									3:46.555	0		63		A					320	MPEG L3-44J					-31568	-980312782	1260629968
MARIJA SERIFOVIC				BEZ LJUBAVI	MILENIUM 00-08		30002093.MPG								MILENIUM 00-08	187 (BANE)	3:12.026	0:00.491	3:07.122	0:31.226									3:05.707	0		61		A					128	MPEG L3-44JP					-31568	-1918419972	1152139944
MARIJA SERIFOVIC				STO PRVI	MILENIUM 00-08		30002098.MPG								MILENIUM 00-08		3:01.846	0:00.409	2:58.656	0:30.769									2:57.539	0		67		A					192	MPEG L3-44JP					-31568	-2019810247	1154090922
MARIJA SERIFOVIC				NIJE MI PRVI PUT	MILENIUM 00-08		30002089.MPG								MILENIUM 00-08		3:29.065	0:00.471	3:24.825	0:15.202									3:23.882	0		60		A					128	MPEG L3-44JP					-31568	482133755	1152139200
MARIJA SERIFOVIC				VIDIM TE SVUDA	A1 CURENT		30002092.MPG								A1 CURENT		4:26.426	0:00.000	4:26.206	0:29.584									4:25.824	0		63		A					256	MPEG L3-44SP					-31568	-216073410	1410276057
MARIJA SERIFOVIC				STA DA ZABORAVIM	RECURENT 08-14		30002278.MPG								RECURENT 08-14		3:12.914	0:01.067	3:07.467	0:08.655									3:06.518	0		61		A					320	MPEG L3-44J					-31568	-858184022	1260630012
MARIJA SERIFOVIC				JEDAN VIDI SVE	RECURENT 08-14		30001999.MPG								RECURENT 08-14		3:55.937	0:01.643	3:51.244	0:27.068									3:49.987	0		64		A					320	MPEG L3-44J					-31568	926085516	1260629960
MARIJA SERIFOVIC				POVREDI ME	MILENIUM 00-08		30002091.MPG								MILENIUM 00-08		3:16.884	0:01.048	3:12.531	0:28.794									3:11.401	0		62		A					128	MPEG L3-44JP					-31568	2005664241	1152151658
MARIJA SERIFOVIC				JEDAN DOBAR RAZLOG	RECURENT 08-14		30001410.MPG								RECURENT 08-14		3:48.004	0:02.428	3:37.316	0:34.094									3:35.447	0		65		A					128	MPEG L3-44JP					-31568	-1718577274	1208980804
MARIJA SERIFOVIC				IZVINI SE	A1 CURENT		30002095.MPG								A1 CURENT	OXIDUALITY	3:38.021	0:00.000	3:37.808	0:07.325									3:36.781	0		63		A					256	MPEG L3-44SP					-31568	-914073246	1410276126
MARIJA SERIFOVIC				BEZ TEBE	MILENIUM 00-08		30002094.MPG								MILENIUM 00-08		3:52.933	0:00.000	3:50.876	0:18.229									3:49.922	0		63		A					320	MPEG L3-44SP					-31568	-1732444683	1169717304
MARIJA SERIFOVIC				GREH	MILENIUM 00-08		30002085.MPG								MILENIUM 00-08		4:06.155	0:00.000	4:03.375	0:07.967									4:02.921	0		61		A					320	MPEG L3-44SP					-31568	-245131046	1395838674
MARIJA SERIFOVIC				ISTINU PRECUTI	RECURENT 08-14		30001982.MPG								RECURENT 08-14		4:06.439	0:00.908	4:01.135	0:23.729									3:59.872	0		63		A					320	MPEG L3-44J					-31568	-45774351	1295767055
MARIJA SERIFOVIC				MOLITVA (DRS)	MILENIUM 00-08		30002087.MPG								MILENIUM 00-08		2:59.884	0:00.000	2:59.604	0:13.265									2:59.162	0		63		A					192	MPEG L3-44SP					-31568	1092709259	1173189676
MARIJA SERIFOVIC				ZABRANJENA PRICA	RECURENT 08-14		30001565.MPG								RECURENT 08-14		4:43.149	0:00.260	4:39.440	1:02.059									4:38.048	0		65		A					128	MPEG L3-44JP					-31568	831892801	1208982240
MARIJA SERIFOVIC				KASNO DA TE MENJAM	RECURENT 08-14		30001589.MPG								RECURENT 08-14		4:02.215	0:00.248	3:57.835	0:29.766									3:56.843	0		66		A					128	MPEG L3-44JP					-31568	1798792400	1208985330
MARIJA SERIFOVIC				LAZ	MILENIUM 00-08		30002083.MPG								MILENIUM 00-08		4:26.248	0:01.800	4:19.259	0:38.618									4:17.077	0		66		A					192	MPEG L3-44JP					-31568	1494233719	1161810877
MARIJA SERIFOVIC				NA TVOJOJ KOSULJI	MILENIUM 00-08		30002088.MPG								MILENIUM 00-08		4:17.784	0:00.000	4:12.971	0:31.575									4:11.546	0		63		A					128	MPEG L3-44JP					-31568	-1585057830	1152151070
MARIJA SERIFOVIC				BILO BI TI BOLJE	MILENIUM 00-08		30002084.MPG								MILENIUM 00-08		3:15.691	0:00.521	3:10.393	0:23.087									3:09.912	0		63		A					128	MPEG L3-44JP					-31568	-1791960993	1152151186
MARIJA SERIFOVIC				NE VOLIS JE ZNAM	RECURENT 08-14		30001487.MPG								RECURENT 08-14		3:47.847	0:00.000	3:41.901	0:03.640									3:40.641	0		64		A					128	MPEG L3-44JP					-31568	1084497054	1208980516
MARIJA SERIFOVIC				JESEN BEZ NAS	MILENIUM 00-08		30002086.MPG								MILENIUM 00-08		3:17.258	0:00.000	3:11.919	0:02.424									3:09.495	0		64		A					128	MPEG L3-44JP					-31568	-1121922305	1152151312
MARIJA SESTIC				RIJEKA BEZ IMENA	MILENIUM 00-08		30002096.MPG								MILENIUM 00-08		3:06.153	0:00.000	3:02.282	0:07.245									3:01.138	0		64		A					192	MPEG L3-44JP					-31568	982821550	1173694167
MARIJA SESTIC				ODAVNO	MILENIUM 00-08		30002097.MPG								MILENIUM 00-08	JACQUES	3:21.743	0:00.289	3:15.962	0:20.827									3:15.218	0		63		A					320	MPEG L3-44JP					-31568	170051661	1197884490
MARI MARI				KAD ME NE VOLIS	MILENIUM 00-08		30000508.MPG								MILENIUM 00-08		3:27.046	0:00.275	3:21.903	0:18.917									3:20.801	0		62		A					160	MPEG L3-44JP					-31568	1116731389	1107113131
MARI MARI				DA TE VOLIM	MILENIUM 00-08		30000209.MPG								MILENIUM 00-08		3:32.062	0:00.000	3:32.062	0:24.507									3:25.030	0		65		A					160	MPEG L3-44JP					-31568	944647658	1107113097
MARI MARI				NIKO KAO TI	RECURENT 08-14		30002076.MPG								RECURENT 08-14		4:17.802	0:00.000	4:16.746	0:44.463									4:15.373	0		63		A					320	MPEG L3-44SP					-31568	-249443643	1376546383
MARI MARI				UPORNO SI TU	RECURENT 08-14		30002071.MPG								RECURENT 08-14		3:44.653	0:00.506	3:43.679	0:20.619									3:42.022	0		63		A					192	MPEG L3-44JP					-31568	2061496017	1237719169
MARI MARI				GDE POSLE NAS	RECURENT 08-14		30002072.MPG								RECURENT 08-14		3:26.994	0:00.805	3:23.083	0:07.760									3:21.577	0		64		A					192	MPEG L3-44JP					-31568	-349031047	1234171257
MARI MARI				MOJ SVET	RECURENT 08-14		30002073.MPG								RECURENT 08-14		3:13.410	0:00.000	3:09.316	0:16.879									3:08.286	0		63		A					192	MPEG L3-44JP					-31568	1178179031	1237999647
MARI MARI				DA TI SE DLANOVI ZALEDE	RECURENT 08-14		30002074.MPG								RECURENT 08-14		2:52.935	0:01.877	2:50.575	0:11.867									2:49.193	0		63		A					192	MPEG L3-44JP					-31568	-1529463185	1232574960
MARI MARI				KAD TI SE DLANOVI ZALEDE	MILENIUM 00-08		30002075.MPG								MILENIUM 00-08		2:57.972	0:01.822	2:51.065	0:12.396									2:49.096	0		61		A					192	MPEG L3-44JP					-31568	1661420139	1142408867
MARINA PERAZIC				JUZNI RITAM	90		30000656.MPG								90		3:30.528	0:00.000	3:27.621	0:32.950									3:27.254	0		67		A					128	MPEG L3-44SP					-31568	1770811109	947538292
MARINA PERAZIC				SAN ZA JEDAN DAN	90		30000657.MPG								90	PILOTI	2:50.561	0:00.000	2:46.517	0:04.052									2:44.212	0		65		A					128	MPEG L3-44SP					-31568	1210859332	947538770
MARKO MANDIC				MNOGO DOBRO	A1 CURENT		30002101.MPG								A1 CURENT		3:11.715	0:00.000	3:08.007	0:00.392									3:07.143	0		66		A					320	MPEG L3-44SP					-31568	183133930	1407927066
MARKO MANDIC				DOBAR DAN	RECURENT 08-14		30002100.MPG								RECURENT 08-14		2:48.127	0:00.000	2:45.797	0:00.137									2:45.109	0		62		A					320	MPEG L3-44SP					-31568	-579369135	1386839279
MARKO MANDIC				RAMDAGADAM	A1 CURENT		30002102.MPG								A1 CURENT		3:36.871	0:00.000	3:28.907	0:21.859									3:28.196	0		63		A					320	MPEG L3-44SP					-31568	1846666651	1391691217
MARKO VUKCEVIC				NE ZASLUZUJES ME	RECURENT 08-14		30002103.MPG								RECURENT 08-14		3:52.049	0:01.521	3:48.950	0:14.166									3:47.334	0		60		A					256	MPEG L3-44SP					-31568	-1334872677	1200933713
MARKO VUKCEVIC				GOVOR TIJELA	A1 CURENT		30000001.MPG								A1 CURENT		3:03.908	0:00.000	3:03.908	0:07.158									2:55.515	0		66		A					160	MPEG L3-44SP					-31568	184112626	1110463716
MAROON 5				MAKE ME WONDER	MILENIUM 00-08		30002514.MPG								MILENIUM 00-08		3:29.793	0:00.000	3:29.444	0:17.062									3:28.486	0				A					256	MPEG L3-44SP				20/11/2014	-31568	343016433	1415809533
MARS VENUS				BUDI SA MNOM	RECURENT 08-14		30002104.MPG								RECURENT 08-14		4:11.350	0:00.000	4:04.808	0:11.328									4:01.615	0		75		A					128	MPEG L3-44J					-31568	844097988	1240403705
MARS VENUS				TAMO GDE SI TI	90		30000660.MPG								90		3:48.231	0:01.215	3:44.204	0:31.748									3:42.848	0		67		A					128	MPEG L3-44J					-31568	-672039538	1210073568
MARS VENUS				SVE STO IMAM TO SMO MI	90		30000659.MPG								90		3:54.266	0:05.279	3:49.797	0:40.411									3:48.933	0		69		A					192	MPEG L3-44JP					-31568	608038856	1210074252
MARS VENUS				ŠTA BI BILO DA SAM JA	RECURENT 08-14		30002105.MPG								RECURENT 08-14		4:16.522	0:01.103	4:11.609	0:35.523									4:11.178	0		69		A					320	MPEG L3-44SP					-31568	-584807413	1348740516
MARS VENUS				PRONADJI PUT	90		30000658.MPG								90		4:32.125	0:00.000	4:15.897	0:28.321									4:14.113	0		71		A					128	MPEG L3-44JP					-31568	1722060817	1008490794
MARTIN VUCIC				KADA LJUBAV UMIRE	MILENIUM 00-08		30002106.MPG								MILENIUM 00-08		4:00.924	0:00.000	3:57.491	0:23.788									3:56.504	0		67		A					112	MPEG L3-44JP					-31568	-1063720904	1135438333
MARTIN VUCIC				NISTA MI NIJE VAZNO	MILENIUM 00-08		30002107.MPG								MILENIUM 00-08		4:00.976	0:00.296	3:56.853	0:32.778									3:55.174	0		66		A					112	MPEG L3-44JP					-31568	1289617035	1135438312
MARTIN VUCIC				OPRASTAM TI SVE	MILENIUM 00-08		30002108.MPG								MILENIUM 00-08		3:04.816	0:00.000	2:59.993	0:32.560									2:59.463	0		67		A					160	MPEG L3-44JP					-31568	-667454415	1136469728
MASSIMO				KAD COVEK VOLI ZENU	MILENIUM 00-08		30000661.MPG								MILENIUM 00-08		4:05.551	0:00.603	4:00.718	0:17.355									3:59.209	0		72		A					160	MPEG L3-44JP					-31568	863103006	1065513568
MASSIMO				BACILA JE SVE NIZ RIJEKU	MILENIUM 00-08		30000013.MPG								MILENIUM 00-08		4:22.844	0:00.000	4:17.057	0:15.722									4:15.765	0		63		A					128	MPEG L3-44SP					-31568	1790388789	1114349463
MASSIMO				GDJE SMO SAD	RECURENT 08-14		30001638.MPG								RECURENT 08-14		4:27.968	0:00.000	4:27.968	0:34.147									4:20.993	0		66		A					256	MPEG L3-44SP					-31568	-72082598	1322164286
MASSIMO				DA MOGU	MILENIUM 00-08		30001343.MPG								MILENIUM 00-08		5:00.830	0:00.000	5:00.625	0:29.091									5:00.255	0		64		A					256	MPEG L3-44SP					-31568	-295333946	1410276223
MASSIMO				ZAR VISE NEMA NAS	RECURENT 08-14		30001558.MPG								RECURENT 08-14		4:37.737	0:00.000	4:37.595	0:23.804									4:36.713	0		66		A					256	MPEG L3-44SP					-31568	1516359558	1414768180
MASSIMO				DODI	MILENIUM 00-08		30001520.MPG								MILENIUM 00-08		4:31.808	0:00.000	4:31.138	0:14.812									4:28.716	0		64		A					256	MPEG L3-44SP					-31568	-807547570	1410276293
MASSIMO				TU NA MOJIM RUKAMA	MILENIUM 00-08		30001612.MPG								MILENIUM 00-08		3:00.745	0:00.000	3:00.595	0:13.921									2:59.984	0		63		A					256	MPEG L3-44SP					-31568	-1996448388	1410276453
MASSIMO				INDIJA	MILENIUM 00-08		30001519.MPG								MILENIUM 00-08		4:47.430	0:00.294	4:40.456	0:21.079									4:38.454	0		65		A					192	MPEG L3-44JP					-31568	-1565088004	1222443126
MASSIMO				IZ JEDNOG RAZLOGA	RECURENT 08-14		30001600.MPG								RECURENT 08-14		4:32.252	0:00.000	4:28.179	0:22.980									4:26.059	0		67		A					256	MPEG L3-44SP					-31568	-1551639451	1322164310
MASSIMO				STINE	MILENIUM 00-08		30000048.MPG								MILENIUM 00-08		3:49.929	0:00.000	3:44.293	0:10.833									3:41.561	0		63		A					128	MPEG L3-44SP				27/10/2014	-31568	589425261	1114349890
MASSIMO				TRAZI ME	MILENIUM 00-08		30001346.MPG								MILENIUM 00-08		5:04.645	0:00.624	4:58.444	0:12.107									4:56.322	0		65		A					192	MPEG L3-44JP					-31568	-1268727937	1222443056
MASSIMO				KAZU	MILENIUM 00-08		30001439.MPG								MILENIUM 00-08		4:20.105	0:00.000	4:19.888	0:53.181									4:19.376	0		63		A					256	MPEG L3-44SP					-31568	245994357	1410276372
MAX				NEMA MI LIJEKA	RECURENT 08-14		30002110.MPG								RECURENT 08-14		3:50.120	0:00.000	3:48.714	0:20.740									3:47.959	0		61		A					320	MPEG L3-44JP					-31568	1658569471	1233054462
MAYA SAR				NESPRETNO	RECURENT 08-14		30001621.MPG								RECURENT 08-14		4:14.511	0:00.000	4:10.365	0:25.338									4:09.009	0		64		A					320	MPEG L3-44SP					-31568	373339709	1378900076
MC HAMMER				U CAN'T TOUCH THIS	90		30002578.MPG								90		4:17.442	0:00.553	4:12.347	0:00.580									4:10.923	0				A					192	MPEG L3-44JP				20/11/2014	-31568	1827679749	1163697334
MEGAMIX BAND				DOBRO ZNAM	RECURENT 08-14		30002111.MPG								RECURENT 08-14		4:05.289	0:00.150	4:01.417	0:33.770									3:59.508	0		63		A					224	MPEG L3-44JP					-31568	-2094087107	1182770514
MELANIE FIONA				GIVE IT TO ME RIGHT	RECURENT 08-14		30002499.MPG								RECURENT 08-14		3:40.426	0:00.000	3:38.335	0:08.805									3:36.303	0				A					192	MPEG L3-44SP				20/11/2014	-31568	460698986	1277192681
MEN AT WORK				LAND DOWNUNDER	80		30002549.MPG								80		3:45.160	0:00.000	3:31.443	0:11.992									3:29.137	0				A					128	MPEG L3-44JP				20/11/2014	-31568	-1878264565	1102759032
MERI				PRASINA S PUTA	80		30000957.MPG								80		3:47.213	0:00.000	3:41.527	0:19.038									3:39.944	0		63		A					128	MPEG L3-44J					-31568	1908578652	1126556710
MERI CETINIC				MORE	80		30000663.MPG								80		4:53.385	0:00.000	4:53.207	0:08.174									4:50.472	0		75		A					256	MPEG L3-44SP					-31568	-1358759447	1414331887
MERI CETINIC				POTRAZI ME U PREDGRADJU	80		30000664.MPG								80		4:17.636	0:03.266	4:07.588	0:03.687									4:05.903	0		76		A					128	MPEG L3-44JP					-31568	-1008636222	938570008
MERLIN				NEMAM JA OSAMNAEST GODINA	90		30000682.MPG								90		3:55.232	0:00.000	3:55.232	0:07.741									3:44.268	0		68		A					128	MPEG L3-44J					-31568	-1648964268	1042827674
MERLIN				LAZU ME	80		30000691.MPG								80		4:18.698	0:00.405	4:14.381	0:15.080									4:08.422	0		72		A					128	MPEG L3-44JP					-31568	-707300829	1042827638
MERLIN				JEL' SARAJEVO GDJE JE NEKAD	80		30000692.MPG								80		4:38.334	0:00.000	4:34.518	0:45.163									4:33.263	0		72		A					128	MPEG L3-44J					-31568	1090940005	1042827638
MERLIN				KAD ZAMIRISU JORGOVANI	80		30000693.MPG								80		4:57.508	0:01.097	4:56.175	0:33.707									4:55.200	0		70		A					128	MPEG L3-44J					-31568	-351964390	1042827652
MERLIN				ZAR JE TO SVE STO JE OSTALO	80		30000689.MPG								80		4:12.280	0:00.533	4:05.293	0:02.648									4:02.546	0		67		A					128	MPEG L3-44JP					-31568	-594847182	1042827664
MERLIN				OTKRIT CU TI TAJNU	MILENIUM 00-08		30001682.MPG								MILENIUM 00-08		5:06.998	0:00.420	4:58.012	0:13.673									4:48.776	0		64		A					128	MPEG L3-44SP					-31568	643450802	1212850500
MERLIN				SVE JE LAZ	MILENIUM 00-08		30000695.MPG								MILENIUM 00-08		4:13.787	0:00.178	4:13.130	0:26.645									4:08.576	0		66		A					128	MPEG L3-44JP					-31568	167681014	1042827706
MERLIN				SREDINOM	MILENIUM 00-08		30000688.MPG								MILENIUM 00-08		4:31.394	0:00.127	4:30.269	0:48.270									4:21.764	0		66		A					128	MPEG L3-44JP					-31568	967835987	1042827706
MERLIN				HITNA	MILENIUM 00-08		30000696.MPG								MILENIUM 00-08		3:42.597	0:00.775	3:38.752	0:06.156									3:36.927	0		66		A					128	MPEG L3-44JP					-31568	1231078480	1042827706
MERLIN				KAD TI DODJEM NESRECO	80		30000697.MPG								80		4:55.426	0:01.149	4:50.523	0:16.705									4:48.466	0		69		A					128	MPEG L3-44JP					-31568	2099819639	1042827638
MERLIN				KOKUZNA VREMENA	80		30000698.MPG								80		2:47.941	0:00.034	2:45.858	0:14.002									2:45.610	0		71		A					128	MPEG L3-44J					-31568	1887160357	1042827652
MERLIN				KAD SI REKLA DA ME VOLIS	MILENIUM 00-08		30000699.MPG								MILENIUM 00-08		4:30.871	0:00.221	4:27.370	0:02.330									4:25.816	0		66		A					128	MPEG L3-44JP					-31568	-921270706	1042827706
MERLIN				STA TI ZNACIM JA	90		30000700.MPG								90		4:40.197	0:01.624	4:37.282	0:45.445									4:28.764	0		68		A					128	MPEG L3-44JP					-31568	-486993777	1042827638
MERLIN				MOSTARSKA	90		30000687.MPG								90		3:19.549	0:00.000	3:19.549	0:29.862									3:13.680	0		67		A					128	MPEG L3-44J					-31568	-1733641105	1042827638
MERLIN				DA SUTIS	RECURENT 08-14		30001672.MPG								RECURENT 08-14		4:04.670	0:00.440	3:58.833	0:35.460									3:55.977	0		66		A					128	MPEG L3-44SP					-31568	-606851451	1212850500
MERLIN				MJESECINA	80		30000701.MPG								80		3:12.888	0:00.000	3:11.928	0:19.797									3:08.361	0		71		A					128	MPEG L3-44J					-31568	-887010663	1042827652
MERLIN				TESKO MENI SA TOBOM	80		30000702.MPG								80		3:48.545	0:00.008	3:48.269	0:08.398									3:47.678	0		73		A					128	MPEG L3-44J					-31568	-1526734362	1042827638
MERLIN				UNDO	RECURENT 08-14		30001670.MPG								RECURENT 08-14		4:05.345	0:00.163	4:01.803	0:11.628									3:53.989	0		64		A					320	MPEG L3-44JP					-31568	743446974	1406700327
MERLIN				POLJUBIH TE SINOC	90		30000704.MPG								90		4:53.015	0:00.000	4:53.015	0:41.786									4:49.059	0		72		A					128	MPEG L3-44J					-31568	-725916226	1042827664
MERLIN				SUPERMAN (SA ZELJKOM JOKSIMOVICEM)	MILENIUM 00-08		30000059.MPG								MILENIUM 00-08		3:48.780	0:01.792	3:45.142	0:33.592									3:40.858	0		61		A					128	MPEG L3-44SP					-31568	68733055	1086534007
MERLIN				SA MOJIH USANA	90		30000686.MPG								90		3:45.828	0:00.000	3:44.537	0:43.881									3:37.017	0		74		A					128	MPEG L3-44J					-31568	1353021983	1042827638
MERLIN				KREMEN	MILENIUM 00-08		30000685.MPG								MILENIUM 00-08		3:30.450	0:00.131	3:29.400	0:32.481									3:25.756	0		66		A					128	MPEG L3-44JP					-31568	1271652148	1042827706
MERLIN				ZABORAVI	90		30000684.MPG								90		3:49.963	0:00.018	3:49.182	0:28.737									3:46.587	0		69		A					128	MPEG L3-44JP					-31568	-590409013	1042827652
MERLIN				STA CE MI SAD LJUBAV	90		30000683.MPG								90		3:35.640	0:00.000	3:34.574	0:14.699									3:31.803	0		71		A					128	MPEG L3-44J					-31568	-193058001	1042827638
MERLIN				DANAS SAM OK	80		30000690.MPG								80		3:49.154	0:00.000	3:48.623	0:23.660									3:47.872	0		67		A					128	MPEG L3-44JP					-31568	-1033897828	1042827652
MERLIN				KAD COVJEK VOLI	MILENIUM 00-08		30000052.MPG								MILENIUM 00-08		4:12.081	0:00.138	4:08.671	0:19.909									4:05.570	0		63		A					128	MPEG L3-44SP					-31568	-1945491250	1086532400
MERLIN				MOJ JE ZIVOT SVICARSKA	MILENIUM 00-08		30000681.MPG								MILENIUM 00-08		3:57.879	0:00.149	3:55.581	0:18.637									3:42.199	0		67		A					128	MPEG L3-44JP					-31568	-1489394596	1042827706
MERLIN				JA SAM NA TE NAVIK'O	90		30000680.MPG								90		3:57.278	0:00.000	3:50.217	0:37.915									3:48.856	0		69		A					128	MPEG L3-44JP					-31568	131625181	1042827664
MERLIN				NE ZOVI ME NA GRIJEH	90		30000679.MPG								90		4:44.604	0:00.133	4:41.205	0:23.950									4:31.929	0		69		A					128	MPEG L3-44J					-31568	460454734	1042827674
MERLIN				BOZIC JE	80		30000678.MPG								80		4:44.686	0:00.000	4:44.338	0:00.087									4:42.821	0		69		A					256	MPEG L3-44SP					-31568	-549364653	1414768461
